;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
SHOPPING BASKET;;;;;;;;;;
This is not an invoice;;;;;;;;;;
helmi 18, 2017 11:59:17;;;;;;;;;;
;Mouser No;Mfr. No;Manufacturer;Customer No;Description ;RoHS;Lifecycle;Order Qty.;Price (EUR);Ext: (EUR)
34;667-ECE-A1CKA100;ECE-A1CKA100;Panasonic;;Aluminium Electrolytic Capacitors - Leaded 10uF 16V;RoHS Compliant;;2;0,217 €;0,43 €
35;667-ECE-A1CKS470;ECE-A1CKS470;Panasonic;;Aluminium Electrolytic Capacitors - Leaded 47UF 16V KS RADIAL;RoHS Compliant;;2;0,255 €;0,51 €
36;140-RGA101M1EBK0611G;RGA101M1EBK-0611G;Lelon;;Aluminium Electrolytic Capacitors - Leaded 25V 100uF 105C 6.3x11mm;RoHS Compliant;;2;0,097 €;0,19 €
37;512-2N3904BU;2N3904BU;Fairchild Semiconductor;;Bipolar Transistors - BJT NPN Transistor General Purpose;RoHS Compliant;;2;0,16 €;0,32 €
38;649-DILB8P223TLF;DILB8P-223TLF;FCI / Amphenol;;IC & Component Sockets 8P IC SOCKET;RoHS Compliant;;3;0,17 €;0,51 €
39;649-DILB16P-223TLF;DILB16P-223TLF;FCI / Amphenol;;IC & Component Sockets 16P SOCKET;RoHS Compliant;;1;0,264 €;0,26 €
40;595-TL072IPE4;TL072IPE4;Texas Instruments;;Operational Amplifiers - Op Amps Dual Low-Noise JFET-Input;RoHS Compliant;;3;0,641 €;1,92 €
41;652-3306F-1-503;3306F-1-503;Bourns;;Trimmer Resistors - Through Hole 50K 25% 6mm Single Turn;RoHS Compliant By Exemption;;1;0,407 €;0,41 €
42;652-3306F-1-104;3306F-1-104;Bourns;;Trimmer Resistors - Through Hole 100K 25% 6mm Single Turn;RoHS Compliant By Exemption;;1;0,407 €;0,41 €
43;652-PTD901-2020KB503;PTD901-2020K-B503;Bourns;;Potentiometers 50K LINEAR;RoHS Compliant;;3;1,54 €;4,62 €
44;594-D223Z39Z5UH63J5R;D223Z39Z5UH63J5R;Vishay;;Ceramic Disc Capacitors 22000pF 100V +80/-20 Z5U 5mm LS;RoHS Compliant;;10;0,273 €;2,73 €
45;647-USA1V220MDD;USA1V220MDD;Nichicon;;Aluminium Electrolytic Capacitors - Leaded 35volts 22uF 6.3x7 20% 2.5LS;RoHS Compliant;;2;0,226 €;0,45 €
46;649-67996-410HLF;67996-410HLF;FCI / Amphenol;;Headers & Wire Housings 10P DR UNSHRD HRD TIN OVER NI;RoHS Compliant;;3;1,08 €;3,24 €
47;649-68002-106HLF;68002-106HLF;FCI / Amphenol;;Headers & Wire Housings UNSHROUDED HEADER VERT THRU HOLE 6 POS;RoHS Compliant;;1;0,443 €;0,44 €
48;649-221111-00010T4LF;20021111-00010T4LF;FCI / Amphenol;;Headers & Wire Housings 1.27x1.27mm BTB, Hdr Unshrd,Vert,T/H, 10P;RoHS Compliant;;1;0,604 €;0,60 €
49;81-PV36X503C01B00;PV36X503C01B00;Bourns;;Trimmer Resistors - Through Hole 50Kohms 10mm Square 25turns;RoHS Compliant;;1;1,43 €;1,43 €
50;611-D6R90LFS;D6R90 F1 LFS;C&K Components;;Pushbutton Switches ROUND BLACK;RoHS Compliant;;2;0,726 €;1,45 €
51;604-WP115VEGW;WP115VEGW;Kingbright;;Standard LEDs - Through Hole Red Green 625 568nm Diffused 50 30mcd;RoHS Compliant;;4;0,339 €;1,36 €
52;511-STM32F103CBT6;STM32F103CBT6;STMicroelectronics;;ARM Microcontrollers - MCU 32BIT Cortex M3 128K MED Performance LN;RoHS Compliant;;1;6,37 €;6,37 €
53;667-EVQ-Q2K01W;EVQ-Q2K01W;Panasonic;;Tactile Switches Switch Light Touch 6mm Square SMD;RoHS Compliant;;4;0,377 €;1,51 €
54;815-ABLS2-8-D4Y-T;ABLS2-8.000MHZ-D4Y-T;ABRACON;;Crystals 8.0MHz 30ppm 18pF -40C+85C;RoHS Compliant;;2;0,358 €;0,72 €
55;863-MMBT3904LT1G;MMBT3904LT1G;ON Semiconductor;;Bipolar Transistors - BJT NPN GENERAL PURPOSE;RoHS Compliant;;7;0,094 €;0,66 €
56;579-MCP6004-I/SL;MCP6004-I/SL;Microchip;;Operational Amplifiers - Op Amps Quad 1.8V 1MHz;RoHS Compliant;;1;0,453 €;0,45 €
57;579-MCP6002-I/SN;MCP6002-I/SN;Microchip;;Operational Amplifiers - Op Amps Dual 1.8V 1MHz;RoHS Compliant;;1;0,339 €;0,34 €
58;595-TL072CD;TL072CD;Texas Instruments;;Operational Amplifiers - Op Amps JFET Input Low N;RoHS Compliant;;2;0,67 €;1,34 €
59;595-DAC8552IDGKT;DAC8552IDGKT;Texas Instruments;;Digital to Analog Converters - DAC 16-Bit Dual Channell DAC;RoHS Compliant;;1;7,79 €;7,79 €
60;595-LM4040C10IDBZR;LM4040C10IDBZR;Texas Instruments;;Voltage References 10-V Prec Micropower Shunt 0.5% accuracy;RoHS Compliant;;1;0,802 €;0,80 €
61;595-LM4040C25IDBZR;LM4040C25IDBZR;Texas Instruments;;Voltage References 2.5-V Precision Mcrpwr Shunt .5% acc;RoHS Compliant;;1;0,783 €;0,78 €
62;926-LM1117MPX3.3NOPB;LM1117MPX-3.3/NOPB;Texas Instruments;;LDO Voltage Regulators 800MA LDO LINEAR REG;RoHS Compliant;;2;0,943 €;1,89 €
63;621-1N5819HW-F;1N5819HW-7-F;Diodes Incorporated;;Schottky Diodes & Rectifiers Vr/40V Io/1A T/R;RoHS Compliant;;2;0,415 €;0,83 €
64;667-EEE-FK1V470P;EEE-FK1V470P;Panasonic;;Aluminium Electrolytic Capacitors - SMD 47uF 35V;RoHS Compliant;;2;0,462 €;0,92 €
65;667-EEE-FP1E220AR;EEE-FP1E220AR;Panasonic;;Aluminium Electrolytic Capacitors - SMD 22uF 25V ELECT FP SMD;RoHS Compliant;;3;0,49 €;1,47 €
66;81-GRM188R61A335KE5D;GRM188R61A335KE15D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 3.3uF 10Volts X5R 10%;RoHS Compliant;;10;0,141 €;1,41 €
67;81-GRM18F51C474ZA01J;GRM188F51C474ZA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.47uF 16volts Y5V +80-20%;RoHS Compliant;;10;0,046 €;0,46 €
68;81-GRM188R71E104JA1J;GRM188R71E104JA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.1uF 25Volts X7R 5%;RoHS Compliant;;20;0,044 €;0,88 €
69;81-GRM18R71H103JA01D;GRM188R71H103JA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.01uF 50volts X7R 5%;RoHS Compliant;;10;0,029 €;0,29 €
70;81-GRM1885C1H102FA1J;GRM1885C1H102FA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.001uF 50Volts 1%;RoHS Compliant;;10;0,041 €;0,41 €
71;81-GRM185C1H221GA01D;GRM1885C1H221GA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 220pF 50volts C0G 2%;RoHS Compliant;;10;0,058 €;0,58 €
72;81-GRM185C1H180JA01J;GRM1885C1H180JA01J;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 18pF 50volts C0G 5%;RoHS Compliant;;10;0,031 €;0,31 €
73;71-CRCW06033M30FKEA;CRCW06033M30FKEA;Vishay;;Thick Film Resistors - SMD 1/10watt 3.3Mohms 1%;RoHS Compliant By Exemption;;20;0,041 €;0,82 €
74;652-CR0603FX-2203ELF;CR0603-FX-2203ELF;Bourns;;Thick Film Resistors - SMD 220K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
75;652-CR0603FX-1203ELF;CR0603-FX-1203ELF;Bourns;;Thick Film Resistors - SMD 120K 1% 1/10W;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
76;652-CR0603FX-1003GLF;CR0603-FX-1003GLF;Bourns;;Thick Film Resistors - SMD 100K 1% 1/10W;RoHS Compliant By Exemption;;40;0,027 €;1,08 €
77;652-CR0603FX-3902ELF;CR0603-FX-3902ELF;Bourns;;Thick Film Resistors - SMD 39K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
78;652-CR0603FX-3302ELF;CR0603-FX-3302ELF;Bourns;;Thick Film Resistors - SMD 33K ohm 1%;RoHS Compliant;;20;0,024 €;0,48 €
79;652-CR0603FX-3002ELF;CR0603-FX-3002ELF;Bourns;;Thick Film Resistors - SMD 30K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
80;652-CR0603FX-2702ELF;CR0603-FX-2702ELF;Bourns;;Thick Film Resistors - SMD 27K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
81;652-CR0603FX-2002ELF;CR0603-FX-2002ELF;Bourns;;Thick Film Resistors - SMD 20K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
82;652-CR0603FX-1002GLF;CR0603-FX-1002GLF;Bourns;;Thick Film Resistors - SMD 10K 1% 1/10W;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
83;652-CR0603FX-4701ELF;CR0603-FX-4701ELF;Bourns;;Thick Film Resistors - SMD 4.7K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
84;652-CR0603-FX3301ELF;CR0603-FX-3301ELF;Bourns;;Thick Film Resistors - SMD 3.3KOHM 1/10WATT 1%;RoHS Compliant;;20;0,024 €;0,48 €
85;652-CR0805FX-2491ELF;CR0805-FX-2491ELF;Bourns;;Thick Film Resistors - SMD 2.49K 1%;RoHS Compliant By Exemption;;20;0,042 €;0,84 €
86;652-CR0603FX-2491ELF;CR0603-FX-2491ELF;Bourns;;Thick Film Resistors - SMD 2.49K ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
87;652-CR0603FX-2700ELF;CR0603-FX-2700ELF;Bourns;;Thick Film Resistors - SMD 270 ohm 1%;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
88;652-CR0603FX-1000ELF;CR0603-FX-1000ELF;Bourns;;Thick Film Resistors - SMD 100ohm 1% 1/10W;RoHS Compliant By Exemption;;20;0,024 €;0,48 €
89;81-GRT21BR61E226ME3L;GRT21BR61E226ME13L;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 25Vdc 22uF X5R 20%;RoHS Compliant;New At Mouser;10;0,311 €;3,11 €
90;667-ERJ-2RKF1800X;ERJ-2RKF1800X;Panasonic;;Thick Film Resistors - SMD 0402 180ohms 1% AEC-Q200;RoHS Compliant By Exemption;;20;0,014 €;0,28 €
91;604-WP937EGW;WP937EGW;Kingbright;;Standard LEDs - Through Hole RED/GREEN DIFFUSED 2-LEAD;RoHS Compliant;;4;0,311 €;1,24 €
92;512-MMBFJ309;MMBFJ309;Fairchild Semiconductor;;RF JFET Transistors NCh RF Transistor;RoHS Compliant;;2;0,415 €;0,83 €
93;710-742792664;742792664;Wurth Electronics;;Ferrite Beads WE-CBF 0603 SMD Bead 100MHz 1000Ohm 300mA;RoHS Compliant;;10;0,128 €;1,28 €
94;595-OPA4171AIPW;OPA4171AIPW;Texas Instruments;;Operational Amplifiers - Op Amps 36V,LO PWR,RRO,GEN PURP OP AMP;RoHS Compliant;;1;2,75 €;2,75 €
95;926-LM321MFX/NOPB;LM321MFX/NOPB;Texas Instruments;;Operational Amplifiers - Op Amps LOW PWR SGL OP AMP;RoHS Compliant;;4;0,604 €;2,42 €
96;595-TL074CPWR;TL074CPWR;Texas Instruments;;Operational Amplifiers - Op Amps Quad Low Noise JFET;RoHS Compliant;;4;0,538 €;2,15 €
97;512-1N4148WT;1N4148WT;Fairchild Semiconductor;;Diodes - General Purpose, Power, Switching SINGLE JUNC. 100V 4.0NS COMP;RoHS Compliant;;15;0,135 €;2,03 €
98;771-PMEG2010AEBT/R;PMEG2010AEB,115;Nexperia;;Schottky Diodes & Rectifiers DIODE SCHTTKY TAPE-7;RoHS Compliant;;3;0,358 €;1,07 €
99;647-F981C475MMA;F981C475MMA;AVX;;Tantalum Capacitors - Solid SMD 16volts 4.7uF 0.85x1.6;RoHS Compliant;;10;0,355 €;3,55 €
100;81-GRM155R61E104KA7D;GRM155R61E104KA87D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 0.10uF 25volt X5R +/-10%;RoHS Compliant;;20;0,011 €;0,22 €
101;810-CGA3E1C0G2A103J8;CGA3E1C0G2A103J080AC;TDK;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 0.01uF 100volts C0G +/-5% 0.80mm;RoHS Compliant;;1;0,339 €;0,34 €
102;81-GRM1555C1H101JA1D;GRM1555C1H101JA01D;Murata;;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 100pF 50volts C0G 5%;RoHS Compliant;;1;0,094 €;0,09 €
103;667-ERJ-2GEJ155X;ERJ-2GEJ155X;Panasonic;;Thick Film Resistors - SMD 0402 1.5Mohms 5% Tol AEC-Q200;RoHS Compliant By Exemption;;1;0,132 €;0,13 €
104;667-ERJ-2RKF1004X;ERJ-2RKF1004X;Panasonic;;Thick Film Resistors - SMD 0402 1Mohms 1% Tol AEC-Q200;RoHS Compliant By Exemption;;5;0,094 €;0,47 €
105;667-ERJ-2RKF4703X;ERJ-2RKF4703X;Panasonic;;Thick Film Resistors - SMD 0402 470Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;1;0,094 €;0,09 €
106;667-ERA-2AEB104X;ERA-2AEB104X;Panasonic;;Thin Film Resistors - SMD 0402 1/16W 100Kohms;RoHS Compliant By Exemption;;7;0,566 €;3,96 €
107;667-ERJ-2RKF2203X;ERJ-2RKF2203X;Panasonic;;Thick Film Resistors - SMD 0402 220Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;4;0,094 €;0,38 €
108;279-CPF0402B200KE1;CPF0402B200KE1;TE Connectivity;;Thin Film Resistors - SMD 200K  OHM  .1% 25PPM;RoHS Compliant;;6;0,152 €;0,91 €
109;667-ERJ-2RKF1002X;ERJ-2RKF1002X;Panasonic;;Thick Film Resistors - SMD 0402 10Kohms 1% AEC-Q200;RoHS Compliant;;2;0,094 €;0,19 €
110;667-ERJ-2RKF4701X;ERJ-2RKF4701X;Panasonic;;Thick Film Resistors - SMD 0402 4.7Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;1;0,094 €;0,09 €
111;667-ERJ-2RKF1001X;ERJ-2RKF1001X;Panasonic;;Thick Film Resistors - SMD 0402 1Kohms 1% AEC-Q200;RoHS Compliant By Exemption;;3;0,094 €;0,28 €
112;667-EEE-FP1V220AR;EEE-FP1V220AR;Panasonic;;Aluminium Electrolytic Capacitors - SMD 22UF 35V ELECT FP SMD;RoHS Compliant;;10;0,278 €;2,78 €
;;;;;;;;;;
;;;;;;;;;;
"By submitting your order you agree

to these terms and conditions.";;;;;;;;;Merchandise Total:;151,19 €
Prices are reflected at the date and time shown.;;;;;;;;;Delivery Charge:;0,00 €
;;;;;;;;;Back-order Delivery:;0,00 €
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
